                         
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     204    0.41644E-002   0.19910E-001   0.10197E-004   0.25224E-002  -0.54949E-005   0.66017E-005
     205    0.36519E-002   0.21568E-001  -0.11133E-004   0.24919E-002  -0.42510E-005   0.10353E-004
     206    0.30503E-002   0.23885E-001  -0.89678E-004   0.15687E-002  -0.71195E-005   0.14157E-004
     207    0.23826E-002   0.26980E-001  -0.20595E-003  -0.11741E-002  -0.13617E-004   0.10063E-004
     208    0.45212E-002   0.28108E-001   0.10263E-003  -0.79288E-002  -0.22480E-003   0.12464E-003
     209    0.57043E-002   0.16509E-001  -0.31548E-005   0.16256E-003  -0.29136E-006  -0.30339E-006
     210    0.57218E-002   0.16441E-001  -0.47298E-005   0.36447E-003  -0.36816E-006  -0.21564E-006
     211    0.57029E-002   0.16436E-001  -0.27250E-005   0.60475E-003  -0.51959E-006   0.87664E-007
     212    0.56371E-002   0.16518E-001  -0.18851E-005   0.87581E-003  -0.70478E-006   0.50954E-006
     213    0.55147E-002   0.16716E-001  -0.10945E-005   0.11652E-002  -0.75878E-006   0.11662E-005
     214    0.53249E-002   0.17059E-001  -0.41392E-005   0.14548E-002  -0.14274E-005   0.18807E-005
     215    0.50486E-002   0.17608E-001  -0.16896E-005   0.17150E-002  -0.85471E-006   0.32025E-005
     216    0.46975E-002   0.18367E-001  -0.21442E-004   0.19128E-002  -0.20296E-005   0.39238E-005
     217    0.40848E-002   0.19520E-001  -0.29969E-004   0.19045E-002  -0.55023E-005   0.65241E-005
     218    0.33927E-002   0.21204E-001   0.10128E-004   0.18061E-002  -0.91142E-005   0.15890E-004
     219    0.29149E-002   0.22914E-001  -0.53150E-004   0.10007E-002  -0.62910E-006   0.17764E-004
     220    0.25210E-002   0.25273E-001  -0.19305E-003  -0.18781E-002   0.20764E-004  -0.20235E-004
     221    0.48822E-002   0.26000E-001   0.20255E-003  -0.81189E-002  -0.14035E-003   0.14024E-004
     222    0.55089E-002   0.16886E-001  -0.15017E-004   0.92053E-004   0.12873E-006   0.59207E-006
     223    0.55263E-002   0.16828E-001  -0.20591E-004   0.21608E-003   0.27737E-006   0.55102E-006
     224    0.55205E-002   0.16808E-001  -0.21379E-004   0.37460E-003   0.32668E-006   0.41029E-006
     225    0.54819E-002   0.16846E-001  -0.19722E-004   0.56572E-003   0.37664E-006   0.22327E-006
     226    0.53999E-002   0.16966E-001  -0.14562E-004   0.78194E-003   0.32413E-006   0.33487E-007
     227    0.52622E-002   0.17199E-001  -0.62302E-005   0.10079E-002   0.29967E-006   0.19895E-007
     228    0.50523E-002   0.17575E-001   0.13425E-005   0.12172E-002  -0.50950E-006   0.17793E-006
     229    0.47507E-002   0.18153E-001   0.15747E-004   0.13608E-002   0.32879E-006   0.10118E-005
     230    0.43413E-002   0.18923E-001  -0.49409E-005   0.13573E-002  -0.24482E-005   0.32648E-005
     231    0.35799E-002   0.20130E-001  -0.48638E-005   0.99171E-003  -0.74619E-005   0.51796E-005
     232    0.29408E-002   0.21572E-001   0.51639E-004   0.27564E-003  -0.11393E-004   0.30224E-004
