
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =3784
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       1.234   TIME= 12:47:16
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:47:16  AUG 04, 2019 CP=      1.234

 first try--Static Structural (B5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     156    0.28930E-002   0.12059E-002   0.55237E-003  -0.51209E-018   0.33642E-017  -0.14926E-002
     157    0.43679E-002   0.18470E-002   0.90914E-003   0.45416E-017  -0.16144E-017  -0.20074E-002
     158    0.61648E-002   0.21584E-002   0.19706E-005  -0.27962E-017   0.39741E-017  -0.15390E-002
     159    0.81876E-002   0.36604E-002   0.22708E-002  -0.10072E-016   0.43060E-017   0.80708E-003
     160    0.45977E-002   0.18630E-002   0.72524E-003  -0.17138E-017   0.70846E-018  -0.13370E-002
     161    0.68551E-002   0.32036E-002   0.22980E-002   0.67925E-017   0.47551E-017   0.25726E-003
     162    0.48346E-002   0.16042E-002  -0.25117E-003   0.11340E-016  -0.87685E-017  -0.35276E-003
     163    0.67241E-002   0.31336E-002   0.22292E-002  -0.78012E-017   0.51047E-017  -0.32374E-003
     164    0.67960E-002   0.27656E-002   0.11057E-002   0.72103E-017   0.12184E-016  -0.23610E-003
     165    0.49518E-002   0.15849E-002  -0.42344E-003   0.65395E-017  -0.41764E-018  -0.42979E-003
     166    0.50499E-002   0.15639E-002  -0.58155E-003  -0.41139E-017   0.98179E-019  -0.42913E-003
     167    0.51018E-002   0.15364E-002  -0.71212E-003  -0.32476E-016   0.24383E-017  -0.37297E-003
     168    0.51162E-002   0.15066E-002  -0.81147E-003  -0.30384E-016   0.19278E-017  -0.29090E-003
     169    0.51082E-002   0.14788E-002  -0.88302E-003  -0.22844E-016   0.63299E-018  -0.20570E-003
     170    0.50930E-002   0.14571E-002  -0.92976E-003  -0.44367E-016   0.15666E-017  -0.12835E-003
     171    0.50799E-002   0.14433E-002  -0.95612E-003  -0.54017E-017   0.25706E-017  -0.60906E-004
     172    0.50749E-002   0.14387E-002  -0.96441E-003  -0.19967E-016   0.30723E-017   0.15395E-006
     173    0.50792E-002   0.14432E-002  -0.95578E-003  -0.15591E-016   0.83802E-018   0.61000E-004
     174    0.50910E-002   0.14566E-002  -0.92936E-003  -0.39061E-016  -0.15859E-017   0.12735E-003
     175    0.51071E-002   0.14784E-002  -0.88319E-003  -0.24578E-016  -0.70998E-017   0.20387E-003
     176    0.51183E-002   0.15073E-002  -0.81159E-003  -0.28227E-016   0.11313E-017   0.28984E-003
     177    0.51042E-002   0.15364E-002  -0.71455E-003  -0.15201E-016   0.66195E-017   0.37262E-003
     178    0.50479E-002   0.15627E-002  -0.58295E-003  -0.93372E-018   0.43634E-017   0.42897E-003
     179    0.67773E-002   0.27701E-002   0.11374E-002  -0.61848E-017   0.15737E-017  -0.75506E-003
     180    0.47186E-002   0.20395E-002   0.11086E-002  -0.13044E-017  -0.51097E-019  -0.13053E-002
     181    0.49121E-002   0.21672E-002   0.12799E-002  -0.17498E-017   0.10679E-017  -0.11329E-002
     182    0.50842E-002   0.22710E-002   0.14045E-002  -0.20233E-017   0.10577E-017  -0.92645E-003
     183    0.52159E-002   0.23559E-002   0.15154E-002  -0.78936E-018   0.64391E-018  -0.71343E-003
     184    0.53003E-002   0.24200E-002   0.16139E-002  -0.52371E-018   0.99677E-018  -0.51442E-003
     185    0.53549E-002   0.24653E-002   0.16890E-002   0.20676E-019   0.68726E-018  -0.33194E-003
     186    0.53805E-002   0.24913E-002   0.17376E-002  -0.17476E-017   0.54660E-018  -0.16185E-003
     187    0.53884E-002   0.24999E-002   0.17543E-002  -0.58514E-018   0.33214E-018   0.44282E-006
     188    0.53798E-002   0.24912E-002   0.17379E-002  -0.64097E-018   0.34151E-018   0.16301E-003
     189    0.53517E-002   0.24643E-002   0.16892E-002  -0.13339E-017   0.37397E-018   0.33243E-003
