    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
     170  -0.74648E+002   0.11688E+002  -0.65686E+001  -0.22331E+001  -0.35060E+000  -0.14971E+001
     171  -0.70482E+002   0.77140E+001  -0.62991E+001  -0.20026E+001   0.71358E+000   0.12698E+001
     172  -0.66273E+002   0.75037E+001  -0.10757E+002  -0.20695E+001   0.84552E+000   0.13411E+001
     173  -0.62064E+002   0.72934E+001  -0.15214E+002  -0.21364E+001  -0.47955E-010  -0.14204E-009
     174  -0.66273E+002   0.75037E+001  -0.10757E+002  -0.20695E+001  -0.84552E+000  -0.13411E+001
     175  -0.70482E+002   0.77140E+001  -0.62991E+001  -0.20026E+001  -0.71358E+000  -0.12698E+001
     176  -0.68388E+002   0.58521E+001  -0.61911E+001  -0.25696E+001   0.63842E+000   0.14408E+001
     177  -0.64177E+002   0.55900E+001  -0.11035E+002  -0.26023E+001   0.83769E+000   0.15435E+001
     178  -0.59965E+002   0.53279E+001  -0.15878E+002  -0.26350E+001  -0.56057E-010  -0.17423E-009
     179  -0.64177E+002   0.55900E+001  -0.11035E+002  -0.26023E+001  -0.83769E+000  -0.15435E+001
     180  -0.68388E+002   0.58521E+001  -0.61911E+001  -0.25696E+001  -0.63842E+000  -0.14408E+001
     181  -0.90517E+002   0.56743E+001  -0.98556E+000   0.11049E+000  -0.56757E+000  -0.29011E+001
     182  -0.90971E+002   0.50140E+001  -0.32095E+001   0.13597E+000  -0.65629E+000  -0.22723E+001
     183  -0.91425E+002   0.43537E+001  -0.54335E+001   0.16145E+000   0.91713E-012  -0.10048E-009
     184  -0.90971E+002   0.50140E+001  -0.32095E+001   0.13597E+000   0.65629E+000   0.22723E+001
     185  -0.90517E+002   0.56743E+001  -0.98556E+000   0.11049E+000   0.56757E+000   0.29011E+001
     186  -0.11128E+003   0.14763E+002  -0.42116E+001   0.14037E-009  -0.20333E-010  -0.31685E+001
     187  -0.11064E+003   0.15362E+002  -0.57963E+001   0.87659E-010   0.32246E-010  -0.26915E+001
     188  -0.11000E+003   0.15960E+002  -0.73811E+001   0.69860E-010   0.81309E-010  -0.22589E-010
     189  -0.11064E+003   0.15362E+002  -0.57963E+001   0.12346E-009   0.27648E-010   0.26915E+001
     190  -0.11128E+003   0.14763E+002  -0.42116E+001   0.14214E-009  -0.22498E-010   0.31685E+001
     191  -0.90517E+002   0.56743E+001  -0.98556E+000  -0.11049E+000   0.56757E+000  -0.29011E+001
     192  -0.90971E+002   0.50140E+001  -0.32095E+001  -0.13597E+000   0.65629E+000  -0.22723E+001
     193  -0.91425E+002   0.43537E+001  -0.54335E+001  -0.16145E+000  -0.23945E-010  -0.14582E-009
     194  -0.90971E+002   0.50140E+001  -0.32095E+001  -0.13597E+000  -0.65629E+000   0.22723E+001
     195  -0.90517E+002   0.56743E+001  -0.98556E+000  -0.11049E+000  -0.56757E+000   0.29011E+001
     196  -0.85919E+002   0.38343E+001  -0.59828E+000  -0.12628E+001   0.37604E-001  -0.27410E+001
     197  -0.85942E+002   0.38796E+001  -0.21069E+001  -0.13104E+001  -0.33168E+000  -0.21696E+001
     198  -0.85966E+002   0.39249E+001  -0.36155E+001  -0.13580E+001  -0.32390E-011  -0.65801E-010
     199  -0.85942E+002   0.38796E+001  -0.21069E+001  -0.13104E+001   0.33168E+000   0.21696E+001
     200  -0.85919E+002   0.38343E+001  -0.59828E+000  -0.12628E+001  -0.37604E-001   0.27410E+001
